,subjects,preprocessed,statement,bidirectional_statement
10,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.","['time', 'history', 'share', 'national', 'popular', 'vote', 'margin', 'smaller', 'latino', 'vote', 'margin']",mostly-true,true
11,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","['nearly', 'million', 'american', 'slipped', 'middle', 'class', 'poverty']",half-true,true
12,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","['mitt', 'romney', 'governor', 'massachusetts', 'didnt', 'slow', 'rate', 'growth', 'government', 'actually', 'cut']",false,false
13,The economy bled $24 billion due to the government shutdown.,"['economy', 'bled', 'billion', 'government', 'shutdown']",mostly-true,true
14,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,"['affordable', 'care', 'act', 'sense', 'waived', 'suspended']",barely-true,false
15,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.","['election', 'november', 'percent', 'american', 'people', 'chose', 'vote', 'percent', 'young', 'people', 'percent', 'low', 'income', 'worker', 'chose', 'vote']",half-true,true
16,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,"['mccain', 'opposed', 'requirement', 'government', 'buy', 'american', 'motorcycle', 'said', 'buy', 'american', 'provision', 'quote', 'disgraceful']",true,true
17,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out","['rep', 'ron', 'kind', 'wi', 'fellow', 'democrat', 'went', 'spending', 'spree', 'credit', 'card', 'maxed']",barely-true,false
18,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","['water', 'rate', 'manila', 'philippine', 'raised', 'percent', 'subsidiary', 'world', 'bank', 'partial', 'owner']",half-true,true
19,"Almost 100,000 people left Puerto Rico last year.","['people', 'left', 'puerto', 'rico', 'year']",mostly-true,true
20,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"['woman', 'men', 'making', 'adjust', 'inflation', 'john', 'kitzhaber', 'elected', 'governor']",false,false
21,The United States has the highest corporate tax rate in the free world.,"['united', 'state', 'highest', 'corporate', 'tax', 'rate', 'free', 'world']",mostly-true,true
22,We just had the best year for the auto industry in America in history.,"['best', 'year', 'auto', 'industry', 'america', 'history']",mostly-true,true
23,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","['say', 'scott', 'walker', 'favor', 'cutting', 'family', 'child', 'health', 'care']",half-true,true
24,Says Mitt Romney wants to get rid of Planned Parenthood.,"['say', 'mitt', 'romney', 'want', 'rid', 'planned', 'parenthood']",barely-true,false
25,I dont know who (Jonathan Gruber) is.,"['dont', 'know', 'jonathan', 'gruber']",false,false
26,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"['hate', 'crime', 'american', 'muslim', 'mosque', 'tripled', 'paris', 'san', 'bernardino']",mostly-true,true
27,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,"['rick', 'perry', 'lost', 'election', 'remains', 'person', 'texas', 'governorship', 'time', 'landslide', 'election']",half-true,true
28,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","['isi', 'supporter', 'tweeted', 'shooting', 'began', 'chattanooga', 'tenn']",false,false
29,Youth unemployment in minority communities is about 40 to 45 percent.,"['youth', 'unemployment', 'minority', 'community', 'percent']",mostly-true,true
30,Says Paul Ryan is still endorsing Trump.,"['say', 'paul', 'ryan', 'endorsing', 'trump']",true,true
31,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","['look', 'state', 'right', 'work', 'constantly', 'budget', 'deficit', 'good', 'business', 'climate']",barely-true,false
32,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"['obama', 'administration', 'going', 'come', 'month', 'youre', 'going', 'able', 'burn', 'coal', 'limitedly', 'existing', 'plant']",false,false
33,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"['cut', 'business', 'tax', 'today', 'percent', 'business', 'dont', 'pay', 'business', 'tax']",mostly-true,true
34,Says Mark Pryor votes with Obama 93 percent of the time.,"['say', 'mark', 'pryor', 'vote', 'obama', 'percent', 'time']",mostly-true,true
35,We have a federal government that thinks they have the authority to regulate our toilet seats.,"['federal', 'government', 'think', 'authority', 'regulate', 'toilet', 'seat']",true,true
36,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"['austin', 'city', 'basically', 'doubled', 'size', 'year', 'founded']",true,true
37,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.","['nuclear', 'test', 'conducted', 'nation', 'time', 'earth', 'nuclear', 'test', 'permanent', 'member', 'security', 'council', 'conducted', 'percent', 'total', 'nuclear', 'test']",true,true
38,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","['case', 'catastrophic', 'event', 'atlanta', 'area', 'office', 'center', 'disease', 'control', 'prevention', 'self', 'destruct']",pants-fire,false
39,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.","['president', 'george', 'bush', 'added', 'trillion', 'debt', 'president', 'obama', 'weve', 'added', 'trillion', 'debt']",true,true
40,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"['say', 'supreme', 'court', 'justice', 'suggested', 'case', 'decided', 'based', 'south', 'african', 'law']",false,false
41,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,"['say', 'marco', 'rubio', 'skipped', 'defense', 'vote', 'including', 'arm', 'kurd', 'fight', 'isi']",half-true,true
42,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","['rep', 'david', 'cicilline', 'responsible', 'federal', 'loan', 'guarantee', 'solyndra', 'failed', 'solar', 'company']",pants-fire,false
43,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"['say', 'ohio', 'budget', 'item', 'later', 'signed', 'law', 'gov', 'john', 'kasich', 'requires', 'woman', 'seeking', 'abortion', 'undergo', 'mandatory', 'vaginal', 'probe']",pants-fire,false
44,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"['director', 'homeland', 'security', 'use', 'use', 'term', 'terrorist', 'attack', 'instead', 'substitute', 'man', 'disaster']",false,false
45,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"['african', 'american', 'youth', 'unemployment', 'percent', 'hispanic', 'youth', 'unemployment', 'percent']",half-true,true
46,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","['obamacare', 'provide', 'insurance', 'non', 'resident', 'illegally']",pants-fire,false
47,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"['president', 'barack', 'obama', 'took', 'exactly', 'deficit', 'reduction', 'commission', 'idea']",false,false
48,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"['barack', 'obama', 'hillary', 'clinton', 'changed', 'rule', 'engagement', 'probably', 'cost', 'capt', 'humayun', 'khan', 'life']",pants-fire,false
49,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,"['hillary', 'clinton', 'sponsored', 'legislation', 'jail', 'flag', 'burner']",true,true
50,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"['say', 'paperback', 'edition', 'mitt', 'romneys', 'book', 'deleted', 'line', 'massachusetts', 'individual', 'mandate', 'model', 'country']",barely-true,false
51,"Maggie Hassan raised tuition, making it the highest in America.","['maggie', 'hassan', 'raised', 'tuition', 'making', 'highest', 'america']",barely-true,false
52,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"['say', 'terry', 'mcauliffe', 'person', 'invented', 'scheme', 'rent', 'lincoln', 'bedroom']",false,false
53,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history","['created', 'new', 'job', 'cut', 'unemployment', 'rate', 'half', 'today', 'new', 'york', 'state', 'private', 'sector', 'job', 'history']",true,true
54,"We have towns in West Texas that are out of water, that are having to truck in water.","['town', 'west', 'texas', 'water', 'truck', 'water']",barely-true,false
55,"In Georgia, women earn 82 cents for every dollar earned by men.","['georgia', 'woman', 'earn', 'cent', 'dollar', 'earned', 'men']",half-true,true
56,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,"['federal', 'verifies', 'employee', 'authorized', 'work', 'inaccurate', 'percent', 'way', 'excess', 'percent', 'time']",half-true,true
57,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.","['going', 'build', 'wall', 'ago', 'long', 'ago', 'like', 'environmental', 'impact', 'statement']",barely-true,false
58,Sen. Obama's campaign announced that he's choosing his cabinet.,"['sen', 'obama', 'campaign', 'announced', 'choosing', 'cabinet']",false,false
59,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.","['percent', 'latino', 'texas', 'registered', 'vote', 'percent', 'actually', 'turned']",mostly-true,true
60,Only 2 percent of public high schools in the country offer PE classes.,"['percent', 'public', 'high', 'school', 'country', 'offer', 'pe', 'class']",false,false
61,"Said he's the only Republican candidate ""who's actually turned around a government economy.""","['said', 'republican', 'candidate', 'actually', 'turned', 'government', 'economy']",mostly-true,true
62,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","['military', 'recruiter', 'harvard', 'elena', 'kagan', 'took', 'position', 'supreme', 'court', 'ruled', 'unanimously', 'wrong']",true,true
63,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","['public', 'school', 'teacher', 'texas', 'non', 'teacher', 'public', 'school']",mostly-true,true
64,"Under Mayor Cicilline, [Providence] was a sanctuary city.","['mayor', 'cicilline', 'providence', 'sanctuary', 'city']",false,false
65,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"['transgender', 'individual', 'chance', 'murdered']",pants-fire,false
66,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","['bain', 'capital', 'helped', 'start', 'early', 'childhood', 'learning', 'company', 'called', 'bright', 'horizon', 'lady', 'michelle', 'obama', 'rightly', 'praised']",true,true
67,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","['say', 'man', 'rushed', 'stage', 'dayton', 'ohio', 'chatter', 'isi', 'isi', 'social', 'medium', 'post']",false,false
68,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,"['rep', 'phil', 'gingrey', 'gave', 'government', 'power', 'electronically', 'spy', 'american', 'warrant']",barely-true,false
69,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"['alex', 'sink', 'funneled', 'quarter', 'million', 'dollar', 'bid', 'contract', 'bank', 'america']",barely-true,false
70,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.","['population', 'growth', 'virginia', 'net', 'zero', 'job', 'creation', 'bob', 'mcdonnell', 'governor']",true,true
71,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","['obama', 'home', 'value', 'florida', 'collapsed', 'construction', 'job', 'lost', 'state', 'high', 'foreclosure', 'rate']",barely-true,false
72,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","['new', 'arizona', 'immigration', 'law', 'say', 'police', 'officer', 'stop', 'appears', 'reasonably', 'suspicious', 'undocumented', 'person']",mostly-true,true
73,The only time in our history when the debt has been higher than this was the end of World War II.,"['time', 'history', 'debt', 'higher', 'end', 'world', 'war', 'ii']",mostly-true,true
74,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"['cost', 'health', 'care', 'single', 'biggest', 'factor', 'driving', 'federal', 'budget', 'deficit']",mostly-true,true
75,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","['recession', 'consumer', 'native', 'perversity', 'begun', 'save', 'saving', 'rate', 'percent']",true,true
76,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,"['supreme', 'court', 'nominee', 'forthcoming', 'confirmation', 'hearing']",false,false
77,Says one out of three U.S. homeless men is a veteran.,"['say', 'homeless', 'men', 'veteran']",barely-true,false
78,Says Charlie Crist supports cuts to the Medicare Advantage program.,"['say', 'charlie', 'crist', 'support', 'cut', 'medicare', 'advantage', 'program']",false,false
79,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,"['think', 'unacceptable', 'chinese', 'today', 'larger', 'wind', 'power', 'solar', 'panel', 'photovoltaic', 'manufacturing', 'europe', 'forget', 'united', 'state']",half-true,true
80,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"['say', 'scott', 'brown', 'sponsored', 'legislation', 'let', 'employer', 'deny', 'woman', 'coverage', 'birth', 'control']",true,true
81,"At some point in their lives, 99% of women use birth control.","['point', 'life', 'woman', 'use', 'birth', 'control']",half-true,true
82,"In the past 20 years, Egypt has made great strides in political and democratic reform.","['past', 'year', 'egypt', 'great', 'stride', 'political', 'democratic', 'reform']",false,false
83,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"['attention', 'paid', 'week', 'chris', 'christie', 'make', 'coverage', 'benghazi', 'pale', 'significance']",false,false
84,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,"['say', 'rep', 'steve', 'southerland', 'voted', 'shutdown', 'going']",true,true
85,"In Rick Perrys Texas, we import nurses ... from other countries.","['rick', 'perry', 'texas', 'import', 'nurse', 'country']",half-true,true
86,There is a federal criminal law that says its a crime to transport dentures across state lines.,"['federal', 'criminal', 'law', 'say', 'crime', 'transport', 'denture', 'state', 'line']",mostly-true,true
87,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"['built', 'new', 'prison', 'day', 'mass', 'incarceration', 'explosion', 'nonviolent', 'offender']",mostly-true,true
88,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""","['sen', 'mccain', 'tax', 'plan', 'provides', 'virtually', 'middle', 'class']",barely-true,false
89,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"['austin', 'burdened', 'fastest', 'growing', 'tax', 'increase', 'major', 'city', 'nation']",false,false
90,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.","['phoenix', 'arizona', 'kidnapping', 'capital', 'world']",false,false
91,I belong to the AFL-CIO.,"['belong', 'afl', 'cio']",true,true
92,The insurance commissioner cant do squat about health care.,"['insurance', 'commissioner', 'squat', 'health', 'care']",mostly-true,true
93,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,"['say', 'poll', 'republican', 'candidate', 'beat', 'barack', 'obama', 'texas', 'point']",half-true,true
94,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.","['president', 'ronald', 'reagan', 'sent', 'troop', 'conflict', 'circumstance', 'grenada', 'peacekeeping', 'setting', 'lebanon']",barely-true,false
95,Says David Jolly supports privatizing Social Security.,"['say', 'david', 'jolly', 'support', 'privatizing', 'social', 'security']",barely-true,false
96,Did you know US population growth is at its lowest since the Great Depression?,"['know', 'population', 'growth', 'lowest', 'great', 'depression']",true,true
97,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.","['average', 'student', 'florida', 'actually', 'pay', 'pocket', 'major', 'university', 'tuition', 'spend', 'cellphone']",mostly-true,true
98,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.","['american', 'died', 'gunfire', 'died', 'war', 'country', 'history']",true,true
99,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,"['foreclosure', 'tax', 'effect', 'mean', 'high', 'tax', 'facing', 'foreclosure', 'million', 'family', 'modified', 'mortgage', 'short', 'sale', 'lender']",mostly-true,true
100,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,"['florida', 'department', 'agriculture', 'website', 'freshfromflorida', 'com', 'used', 'permit', 'carry', 'loaded', 'hidden', 'gun', 'leaving', 'house']",false,false
101,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.","['atlanta', 'streetcar', 'expected', 'create', 'job', 'construction', 'totaling', 'job', 'year']",pants-fire,false
102,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.","['raising', 'minimum', 'wage', 'hour', 'help', 'lift', 'million', 'american', 'poverty']",mostly-true,true
103,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","['say', 'secretary', 'state', 'john', 'kerry', 'senator', 'flew', 'managua', 'met', 'communist', 'dictator', 'daniel', 'ortega', 'accused', 'reagan', 'administration', 'engaging', 'terrorism']",mostly-true,true
104,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","['nato', 'opening', 'major', 'terror', 'division', 'im', 'sure', 'im', 'going', 'credit', 'largely', 'saying', 'criticism', 'nato']",false,false
105,Sen. Obama has always had a 100 percent prochoice rating.,"['sen', 'obama', 'percent', 'prochoice', 'rating']",true,true
106,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","['gina', 'raimondo', 'took', 'office', 'investment', 'fee', 'state', 'pension', 'portfolio', 'gone', 'million', 'annually', 'million']",half-true,true
107,The (federal) debt is growing by more than $4 billion a day.,"['federal', 'debt', 'growing', 'billion', 'day']",true,true
108,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.","['president', 'barack', 'obamas', 'job', 'state', 'longer', 'lay', 'teacher', 'firefighter', 'police', 'officer']",half-true,true
109,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","['teacher', 'teacher', 'today', 'year', 'old']",false,false
110,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,"['third', 'wisconsinite', 'receiving', 'unemployment', 'check', 'required', 'search', 'work', 'current', 'work', 'search', 'exemption']",mostly-true,true
111,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.","['president', 'obamas', 'health', 'care', 'reform', 'premium', 'average', 'plan', 'family', 'didnt', 'year', 'gone', 'year']",half-true,true
112,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","['irs', 'investigated', 'liberal', 'group', 'group', 'progressive', 'irs', 'basically', 'looking', 'everybody']",half-true,true
113,Says Obama promised unemployment would never go above 8 percent.,"['say', 'obama', 'promised', 'unemployment', 'percent']",barely-true,false
114,The economy is creating jobs at the fastest pace since 1999.,"['economy', 'creating', 'job', 'fastest', 'pace']",true,true
115,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,"['president', 'obama', 'decided', 'meet', 'prime', 'minister', 'benjamin', 'netanyahu', 'new', 'york']",mostly-true,true
116,"In a majority of states, you can now marry freely, but can still be fired for who you love.","['majority', 'state', 'marry', 'freely', 'fired', 'love']",mostly-true,true
117,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,"['say', 'oregon', 'rep', 'peter', 'defazio', 'earl', 'blumenauer', 'socialist', 'openly', 'serving', 'congress']",pants-fire,false
118,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""","['rudy', 'giuliani', 'probably', 'underqualified', 'man', 'george', 'bush', 'seek', 'presidency']",pants-fire,false
119,"About half of the presidents have been governors; half of them, senators.","['half', 'president', 'governor', 'half', 'senator']",false,false
120,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","['britain', 'vote', 'leave', 'european', 'union', 'hour', 'american', 'lost', 'billion']",mostly-true,true
121,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.","['medicaid', 'spending', 'declined', 'percent', 'second', 'decline', 'year']",mostly-true,true
122,Says 88 Texas constables have died in the line of duty.,"['say', 'texas', 'constable', 'died', 'line', 'duty']",true,true
123,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.","['gov', 'rick', 'scott', 'cut', 'cost', 'prepaid', 'college', 'tuition', 'nearly']",mostly-true,true
124,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.","['city', 'columbus', 'save', 'million', 'year', 'employee', 'contribute', 'guaranteed', 'check', 'pension']",mostly-true,true
125,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.","['florida', 'cfo', 'shut', 'krakow', 'scam', 'refunded', 'million', 'josephine', 'victim', 'man']",true,true
126,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,"['woman', 'getting', 'computer', 'science', 'degree', 'factor', 'plus']",mostly-true,true
127,The Air Force wants taxpayers to fund a fantasy football league.,"['air', 'force', 'want', 'taxpayer', 'fund', 'fantasy', 'football', 'league']",false,false
128,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,"['barack', 'hussein', 'obama', 'force', 'court', 'accept', 'islamic', 'sharia', 'law', 'domestic', 'dispute']",pants-fire,false
129,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,"['percent', 'murder', 'crime', 'committed', 'gun', 'people', 'actually', 'legally', 'purchase', 'gun']",half-true,true
130,Some neighborhood schools are closing.,"['neighborhood', 'school', 'closing']",mostly-true,true
131,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,"['told', 'gay', 'organizer', 'massachusetts', 'stronger', 'advocate', 'special', 'right', 'ted', 'kennedy']",mostly-true,true
132,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","['year', 'speaker', 'florida', 'house', 'consistently', 'offered', 'leaner', 'budget', 'governor', 'offered']",mostly-true,true
133,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.","['halfway', 'goal', 'creating', 'new', 'job', 'seven', 'year']",barely-true,false
134,Says the U.S. Supreme Court found that Social Security is not guaranteed.,"['say', 'supreme', 'court', 'social', 'security', 'guaranteed']",true,true
135,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,"['saysmichael', 'bennet', 'want', 'close', 'guantanamo', 'bay', 'prisonand', 'bring', 'terrorist', 'right', 'colorado']",false,false
136,Oregonians have an amazing no-cost way to fight abortion with free political donations,"['oregonian', 'amazing', 'cost', 'way', 'fight', 'abortion', 'free', 'political', 'donation']",true,true
137,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","['president', 'said', 'he', 'going', 'bring', 'syrian', 'iraqi', 'refugee', 'country']",pants-fire,false
138,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.","['research', 'show', 'vast', 'majority', 'arriving', 'immigrant', 'today', 'come', 'believe', 'government', 'source', 'prosperity', 'thats', 'support']",barely-true,false
139,Newt Gingrichs immigration plan offers a new doorway to amnesty.,"['newt', 'gingrichs', 'immigration', 'plan', 'offer', 'new', 'doorway', 'amnesty']",mostly-true,true
140,Mr. Caprio is a career politician who has never worked in the private sector.,"['mr', 'caprio', 'career', 'politician', 'worked', 'private', 'sector']",false,false
141,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.","['rhode', 'island', 'percent', 'worker', 'use', 'state', 'temporary', 'disability', 'insurance', 'program', 'year', 'new', 'jersey', 'rate', 'percent']",barely-true,false
142,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!","['year', 'spending', 'social', 'security', 'federal', 'health', 'care', 'debt', 'exceed', 'tax', 'revenue']",mostly-true,true
143,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,"['president', 'obama', 'took', 'money', 'wall', 'street', 'campaign', 'anybody']",mostly-true,true
144,Donald Trump has said nuclear proliferation is OK.,"['donald', 'trump', 'said', 'nuclear', 'proliferation', 'ok']",half-true,true
145,"Hillary Clinton has taken over $800,000 from lobbyists.","['hillary', 'clinton', 'taken', 'lobbyist']",true,true
146,Barack Obama has never even worked in business.,"['barack', 'obama', 'worked', 'business']",false,false
147,Says the Arizona immigration law expressly bans racial profiling.,"['say', 'arizona', 'immigration', 'law', 'expressly', 'ban', 'racial', 'profiling']",half-true,true
148,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"['say', 'gov', 'rick', 'perry', 'begging', 'federal', 'government', 'send', 'coast', 'guard', 'patrol', 'lake', 'mexico', 'border']",false,false
149,"On the VA: Over 300,000 veterans have died waiting for care.","['va', 'veteran', 'died', 'waiting', 'care']",barely-true,false
150,Were now spending 42 percent of our economy on government.,"['spending', 'percent', 'economy', 'government']",mostly-true,true
151,Rob Cornilles supports privatizing Medicare.,"['rob', 'cornilles', 'support', 'privatizing', 'medicare']",barely-true,false
152,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","['dan', 'branch', 'tried', 'expand', 'trimester', 'abortion', 'texas']",false,false
153,We (Democrats) have made steady progress creating jobs and improving our schools.,"['democrat', 'steady', 'progress', 'creating', 'job', 'improving', 'school']",half-true,true
